Marque;Gamme;Nom actuel;Nom proposé;Modifié
Buronomic;Adela;Chaise;Chaise Adela;oui
Buronomic;Adela;Fauteuil;Fauteuil Adela;oui
Buronomic;Adela;Tabouret;Tabouret Adela;oui
Buronomic;Alaia;Siège haut;Siège haut Alaia;oui
Buronomic;Alto;Table basse Berlingot;Table basse Berlingot Alto;oui
Buronomic;Alto Réunion;Table de réunion carrée;Table de réunion carrée Alto Réunion;oui
Buronomic;Alto Réunion;Table de réunion rectangulaire;Table de réunion rectangulaire Alto Réunion;oui
Buronomic;Alto Réunion;TAC double;TAC double Alto Réunion;oui
Buronomic;Alto RH;Plan droit avec échancrure;Plan droit avec échancrure Alto RH;oui
Buronomic;Amy;Fauteuil;Fauteuil Amy;oui
Buronomic;Archikit;Niveau supplémentaire;Niveau supplémentaire Archikit;oui
Buronomic;Archikit;Rayonnage niveaux ajourés;Rayonnage niveaux ajourés Archikit;oui
Buronomic;Archikit;Rayonnage niveaux pleins;Rayonnage niveaux pleins Archikit;oui
Buronomic;Arco;Banquette;Banquette Arco;oui
Buronomic;Arco;Chauffeuse;Chauffeuse Arco;oui
Buronomic;Arco;Fauteuil lounge;Fauteuil lounge Arco;oui
Buronomic;Arco;Pouf;Pouf Arco;oui
Buronomic;Astro;Bureau multiposte;Bureau multiposte Astro;oui
Buronomic;Astro;Bureau multiposte + Console B-Box;Bureau multiposte + Console B-Box Astro;oui
Buronomic;Astro;Bureau plan compact;Bureau plan compact Astro;oui
Buronomic;Astro;Bureau plan droit;Bureau plan droit Astro;oui
Buronomic;Astro;Bureau plan droit + Console B-Box;Bureau plan droit + Console B-Box Astro;oui
Buronomic;Astro;Extension / retour;Extension / retour Astro;oui
Buronomic;Astro Direction;Bureau direction + Console B-Box;Bureau direction + Console B-Box Astro Direction;oui
Buronomic;Astro Direction;Bureau direction droit;Bureau direction droit Astro Direction;oui
Buronomic;Astro Direction;VDF suspendu L170;VDF suspendu L170 Astro Direction;oui
Buronomic;Astrolite;Extension;Extension Astrolite;oui
Buronomic;Astrolite;Multiposte Console B-Box;Multiposte Console B-Box Astrolite;oui
Buronomic;Astrolite;Multiposte P143;Multiposte P143 Astrolite;oui
Buronomic;Astrolite;Multiposte P163;Multiposte P163 Astrolite;oui
Buronomic;Astrolite;Plan compact;Plan compact Astrolite;oui
Buronomic;Astrolite;Plan droit Console B-Box;Plan droit Console B-Box Astrolite;oui
